date,cash,market_value,nav,open_positions,holdings
2026-06-01,100000.0,0.0,100000.0,0,
2026-06-02,2632.3407328128815,99303.00207138062,101935.3428041935,3,"SH601918,SZ002428,SH603690"
2026-06-03,104176.5425465107,0.0,104176.5425465107,0,
2026-06-04,5059.008134317402,101315.99884033203,106375.00697464944,3,"SH603330,SZ002119,SZ002856"
2026-06-05,105050.9865700245,0.0,105050.9865700245,0,
2026-06-08,1977.4750304520348,103563.99766206741,105541.47269251946,5,"SZ000820,SZ002354,SZ002514,SZ002717,SZ000609"
2026-06-09,106132.37275102141,0.0,106132.37275102141,0,
