date,close,sse_nav,model_nav,model_value,event,excess_nav,model_return,sse_return,excess_return
2026-01-05,4023.4167,1.0,1.0,100000.0,start,1.0,0.0,0.0,0.0
2026-01-06,4083.6672,1.0149749589695742,1.0,100000.0,,0.9852459818469047,0.0,0.014974958969574237,-0.014974958969574237
2026-01-07,4085.7723,1.0154981709948163,1.0,100000.0,,0.9847383565648042,0.0,0.015498170994816318,-0.015498170994816318
2026-01-08,4082.9788,1.0148038606093173,1.03564189436147,103564.189436147,exit,1.0205340505303566,0.03564189436147003,0.014803860609317265,0.020838033752152763
2026-01-09,4120.426,1.0241111739681352,1.03564189436147,103564.189436147,,1.0112592467365205,0.03564189436147003,0.024111173968135224,0.011530720393334803
2026-01-12,4165.287,1.0352611500568658,1.1062546559317379,110625.4655931738,exit,1.0685754564159704,0.10625465593173788,0.03526115005686581,0.07099350587487208
2026-01-13,4138.7585,1.0286676247081243,1.1062546559317379,110625.4655931738,,1.0754247818829024,0.10625465593173788,0.02866762470812434,0.07758703122361355
2026-01-14,4126.0932,1.025519728046066,1.089240607120379,108924.0607120379,exit,1.0621352055271733,0.08924060712037907,0.025519728046065948,0.06372087907431312
2026-01-15,4112.6012,1.0221663592538153,1.089240607120379,108924.0607120379,,1.0656196980651254,0.08924060712037907,0.02216635925381527,0.0670742478665638
2026-01-16,4101.9127,1.019509786296806,1.0786119458588719,107861.19458588718,exit,1.0579711547220594,0.07861194585887188,0.01950978629680611,0.05910215956206577
2026-01-19,4114.0001,1.0225140488182594,1.0786119458588719,107861.19458588718,,1.054862715192467,0.07861194585887188,0.022514048818259358,0.05609789704061252
2026-01-20,4113.649,1.0224267846778088,1.0819165418134202,108191.65418134202,exit,1.0581848578569448,0.08191654181342023,0.022426784677808786,0.05948975713561144
2026-01-21,4116.94,1.0232447461879848,1.0819165418134202,108191.65418134202,,1.0573389659160357,0.08191654181342023,0.023244746187984777,0.05867179562543545
2026-01-22,4122.576,1.02464554566272,1.0968943183206978,109689.4318320698,exit,1.0705109908141444,0.09689431832069784,0.024645545662719925,0.07224877265797791
2026-01-23,4136.1642,1.028022824481491,1.0968943183206978,109689.4318320698,,1.0669941291176523,0.09689431832069784,0.02802282448149107,0.06887149383920677
2026-01-26,4132.6052,1.0271382529182225,1.1751791335046335,117517.91335046336,exit,1.1441294588784023,0.17517913350463354,0.027138252918222472,0.14804088058641107
2026-01-27,4139.9041,1.028952357830597,1.1751791335046335,117517.91335046336,,1.142112289807407,0.17517913350463354,0.02895235783059702,0.14622677567403652
2026-01-28,4151.2378,1.0317692920049766,1.114301761430269,111430.1761430269,exit,1.0799912054611667,0.11430176143026904,0.03176929200497658,0.08253246942529247
2026-01-29,4157.9845,1.0334461503825838,1.114301761430269,111430.1761430269,,1.078238823588198,0.11430176143026904,0.033446150382583806,0.08085561104768524
2026-01-30,4117.9476,1.0234951801040146,1.0843885494752599,108438.85494752598,exit,1.0594955116105742,0.08438854947525987,0.023495180104014635,0.06089336937124523
2026-02-02,4015.7464,0.998093585484198,1.0843885494752599,108438.85494752598,,1.0864597921939336,0.08438854947525987,-0.0019064145158019796,0.08629496399106185
2026-02-03,4067.7379,1.011015811511644,1.063907676511718,106390.7676511718,exit,1.052315566579509,0.06390767651171791,0.011015811511644102,0.05289186500007381
2026-02-04,4102.202,1.0195816903578494,1.063907676511718,106390.7676511718,,1.043474678461822,0.06390767651171791,0.0195816903578494,0.04432598615386851
2026-02-05,4075.9167,1.0130486111468395,1.0560490768635993,105604.90768635992,exit,1.0424465965834357,0.05604907686359928,0.013048611146839528,0.04300046571675975
2026-02-06,4065.5834,1.010480321364675,1.0560490768635993,105604.90768635992,,1.0450961335272544,0.05604907686359928,0.010480321364674916,0.04556875549892436
2026-02-09,4123.0897,1.0247732232159796,1.1938124397003824,119381.24397003824,exit,1.1649528038544157,0.19381243970038242,0.024773223215979634,0.1690392164844028
2026-02-10,4128.3731,1.0260863857328026,1.1938124397003824,119381.24397003824,,1.1634619231867056,0.19381243970038242,0.02608638573280264,0.16772605396757978
2026-02-11,4131.985,1.0269841053252076,1.1129684889668943,111296.84889668944,exit,1.0837251357599722,0.11296848896689426,0.026984105325207564,0.0859843836416867
2026-02-12,4134.0178,1.0274893475488134,1.1129684889668943,111296.84889668944,,1.0831922409920849,0.11296848896689426,0.02748934754881338,0.08547914141808088
2026-02-13,4082.0726,1.0145786291536742,1.1809877055922515,118098.77055922516,exit,1.1640179200082204,0.18098770559225152,0.01457862915367425,0.16640907643857727
2026-02-24,4117.4089,1.0233612889263994,1.1809877055922515,118098.77055922516,,1.1540281212231671,0.18098770559225152,0.023361288926399437,0.1576264166658521
2026-02-25,4147.2305,1.0307732977297628,1.281163195550933,128116.3195550933,exit,1.2429146140792007,0.28116319555093305,0.030773297729762783,0.25038989782117027
2026-02-26,4146.6311,1.030624319872212,1.281163195550933,128116.3195550933,,1.2430942787278545,0.28116319555093305,0.030624319872212036,0.250538875678721
2026-02-27,4162.8815,1.0346632751213665,1.3618356983890443,136183.56983890443,exit,1.3162114971455814,0.3618356983890443,0.034663275121366466,0.3271724232676778
2026-03-02,4182.5909,1.0395619474363669,1.3618356983890443,136183.56983890443,,1.3100091839138852,0.3618356983890443,0.03956194743636687,0.3222737509526774
2026-03-03,4122.676,1.0246704001601423,1.4147968064314969,141479.68064314968,exit,1.3807335570641868,0.41479680643149686,0.024670400160142325,0.39012640627135453
2026-03-04,4082.474,1.0146783951063283,1.4147968064314969,141479.68064314968,,1.394330275735535,0.41479680643149686,0.01467839510632829,0.40011841132516857
2026-03-05,4108.567,1.0211636791187946,1.3491915297776842,134919.15297776842,exit,1.3212294535798206,0.3491915297776842,0.021163679118794576,0.3280278506588896
2026-03-06,4124.194,1.025047691431017,1.3491915297776842,134919.15297776842,,1.3162231777666331,0.3491915297776842,0.025047691431016927,0.32414383834666727
2026-03-09,4096.6023,1.0181899130656786,1.4274275700282724,142742.75700282725,exit,1.4019266462092674,0.42742757002827236,0.01818991306567863,0.40923765696259373
2026-03-10,4123.138,1.0247852279382346,1.4274275700282724,142742.75700282725,,1.3929041238232072,0.42742757002827236,0.024785227938234566,0.4026423420900378
2026-03-11,4133.4331,1.0273440233023838,1.4978358577091693,149783.58577091692,exit,1.4579691162210646,0.49783585770916927,0.027344023302383835,0.47049183440678544
2026-03-12,4129.1026,1.0262676992915,1.4978358577091693,149783.58577091692,,1.4594981979294717,0.49783585770916927,0.02626769929150008,0.4715681584176692
2026-03-13,4095.4485,1.017903141874417,1.556578208333909,155657.8208333909,exit,1.5292007110495298,0.556578208333909,0.017903141874417106,0.5386750664594919
2026-03-16,4084.7858,1.015252981377743,1.556578208333909,155657.8208333909,,1.5331924524088214,0.556578208333909,0.015252981377742891,0.5413252269561661
2026-03-17,4049.9073,1.0065841054942184,1.5320421325904277,153204.21325904276,exit,1.522020985855143,0.5320421325904277,0.006584105494218395,0.5254580270962093
2026-03-18,4062.9844,1.009834352976663,1.5320421325904277,153204.21325904276,,1.5171222171977674,0.5320421325904277,0.009834352976662908,0.5222077796137647
2026-03-19,4006.5523,0.9958084381366712,1.587697133320988,158769.7133320988,exit,1.5943800760433826,0.5876971333209879,-0.004191561863328808,0.5918886951843167
2026-03-20,3957.0527,0.983505561330498,1.587697133320988,158769.7133320988,,1.614324509942915,0.5876971333209879,-0.016494438669501954,0.6041915719904899
2026-03-23,3813.2829,0.9477723000950908,1.5893253311621556,158932.53311621555,exit,1.6769062896253637,0.5893253311621556,-0.052227699904909164,0.6415530310670647
2026-03-24,3881.2797,0.964672562998508,1.5893253311621556,158932.53311621555,,1.647528282780251,0.5893253311621556,-0.03532743700149199,0.6246527681636476
2026-03-25,3931.8375,0.9772384500964068,1.6614193858396922,166141.93858396923,exit,1.7001166764117697,0.6614193858396922,-0.022761549903593248,0.6841809357432854
2026-03-26,3889.0835,0.9666121582683692,1.6614193858396922,166141.93858396923,,1.7188066295545368,0.6614193858396922,-0.033387841731630785,0.694807227571323
2026-03-27,3913.7238,0.9727363809967782,1.673132859089183,167313.2859089183,exit,1.720027020449978,0.673132859089183,-0.02726361900322183,0.7003964780924048
2026-03-30,3923.2869,0.9751132414397942,1.673132859089183,167313.2859089183,,1.7158344159276666,0.673132859089183,-0.024886758560205835,0.6980196176493888
2026-03-31,3891.8605,0.9673023676617934,1.8326867394125785,183268.67394125785,exit,1.8946368795133117,0.8326867394125785,-0.03269763233820655,0.8653843717507851
