date,final_rank,ticker,name,model_a_rank,model_a_score,quant_score,technical_score,fundamental_score,event_sentiment_score,bear_risk_score,final_score,decision,risk_level,industry
2026-06-01,1,SH603690,,2,0.7771499156951904,0.7408380909884967,0.4858020852597811,0.5,0.0,0.1795982649837003,0.44737456022146616,候补观察,低,机械设备
2026-06-01,2,SZ002323,,4,0.7252031564712524,0.6751029489437739,0.5546562922261188,0.2322975,0.53125,0.2734761884154086,0.43166883407094536,候补观察,低,建筑装饰
2026-06-01,3,SH603316,,6,0.6946014761924744,0.609749109453211,0.5913114767601545,0.5,0.0,0.17358725248763796,0.42670698332806545,候补观察,低,建筑装饰
2026-06-01,4,SZ000677,,5,0.7155922651290894,0.6621098608026903,0.5337880782836382,0.5,0.0,0.3245709492692951,0.4015544988231826,候补观察,低,纺织服饰
2026-06-01,5,SZ002428,,1,0.8595916628837585,0.6574489578604699,0.40953664360926767,0.5,0.0,0.2550179356386938,0.38396683216825456,候补观察,低,有色金属
2026-06-01,6,SH605006,,3,0.7321887016296387,0.644416945005457,0.4385096978082184,0.5,0.0,0.37574706696163995,0.36208301428360895,候补观察,中,建筑材料
2026-06-01,7,SZ002943,,7,0.6529029607772827,0.49405223066608134,0.3244122775510204,0.5,0.0,0.25825168931777565,0.30406741178847907,候补观察,低,机械设备
