date,final_rank,ticker,name,model_a_rank,model_a_score,quant_score,technical_score,fundamental_score,event_sentiment_score,bear_risk_score,final_score,decision,risk_level,industry
2026-06-02,1,SH605580,,6,0.7561683058738708,0.6702777278920014,0.6011733246022214,0.49137366666666665,0.46875,0.2553151899262951,0.48904327529372793,候补观察,低,公用事业
2026-06-02,2,SH688620,,3,0.7848030924797058,0.695777496001683,0.6054235411339297,0.5,0.0,0.20139051363109717,0.45550344570652956,候补观察,低,电子
2026-06-02,3,SH688448,,4,0.7747432589530945,0.6441429599995415,0.8051260658980195,0.5,0.0,0.3959302825241764,0.44593566491052433,候补观察,中,机械设备
2026-06-02,4,SH600678,,1,0.8130825161933899,0.7847152963280678,0.4441920878113771,0.5,0.0,0.2507233695260115,0.4389589338476326,候补观察,低,建筑材料
2026-06-02,5,SZ002995,,2,0.8049405217170715,0.7039908988152942,0.5038101802569986,0.5,0.0,0.2819065131736146,0.4179698642004626,候补观察,低,商务服务
2026-06-02,6,SH600734,,10,0.6941823363304138,0.5054701555768648,0.4651559206863378,0.5,0.0,0.15508583649949437,0.3625895096724935,候补观察,低,计算机
2026-06-02,7,SZ002323,,5,0.7611265182495117,0.6284065493009987,0.2918657877742846,0.2322975,0.53125,0.2576841009109015,0.3549468266320075,候补观察,低,建筑装饰
2026-06-02,8,SH603601,,8,0.7266638875007629,0.4483329859375954,0.548178862731141,0.5,0.0,0.2808435631537912,0.3367940893622499,候补观察,低,建筑材料
2026-06-02,9,SZ002955,,11,0.6622751355171204,0.46775624901056273,0.436801729340705,0.5,0.0,0.18382338531373169,0.3364599876228255,候补观察,低,电子
2026-06-02,10,SH600337,,9,0.7145878076553345,0.45544113621115717,0.3441545819428733,0.5,0.0,0.2416915530686616,0.29821759808857384,候补观察,低,商贸零售
2026-06-02,11,SH603815,,7,0.7306702733039856,0.5124594600001972,0.16377242448979593,0.5,0.0,0.27553904400119766,0.2686829786773825,候补观察,低,建筑装饰
