ticker,pred_endpoint,pred_mean,pred_slope,uncertainty,dir_agreement,slope_agreement,ep_slope_agree,ep_skew,ep_kurtosis,ep_p10,ep_p90,ep_range,ep_median,ep_median_shift,path_consistency,path_accel,path_accel_agree,convexity_mean,convexity_std,path_max_dd_mean,rank_by_selector,selected,selector_score,fwd_1bar_ret,fwd_2bar_ret,fwd_3bar_ret,fwd_5bar_ret,fwd_10bar_ret,fwd_20bar_ret,model_a_score,model_a_rank,candidate_rank,source_npz,code_name,is_st,signal_prev_close,signal_close,signal_close_ret,signal_close_limit_up
SH603890,0.0285935793071985,0.0200632810592651,0.0050746917724608,0.0079766111448407,1.0,1.0,1.0,-0.5741156339645386,-1.5000003576278689,0.0204639192670583,0.0353217832744121,0.0148578640073537,0.0320972204208374,0.0035036411136388,96.61434936523438,0.0140127139165997,1.0,-0.0115329818800091,0.0098434668034315,0.0,1175,0,9944.0,,,,,,,1.1846257,1,1,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-01_150000.npz,春秋电子,False,24.809999465942383,27.290000915527344,0.09995975425107728,True
SH601918,0.0084982709959149,0.0084790587425231,-0.0001611391703288,0.0214079674333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,-0.6073333621025085,-1.5000001192092896,-0.0132898809388279,0.0261979568749666,0.0394878378137946,0.0187194347381591,0.0102211637422442,47.15816116333008,-0.0010702213039621,0.6666666666666666,-0.0084598464891314,0.0209219623357057,-0.0276864767074584,2651,0,7015.5,,,,,,,0.9392105,2,2,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-01_150000.npz,新集能源,False,10.25,11.279999732971191,0.10048777882645776,True
SH600759,0.0314425639808177,0.024754524230957,0.0028024832407632,0.0008387734997086,1.0,1.0,1.0,0.459126353263855,-1.5000027418136597,0.0306988004595041,0.0322970636188983,0.0015982631593942,0.0311657190322875,-0.0002768449485301,158.38369750976562,0.0074784159660339,1.0,-0.0180664863437414,0.0118693495169281,0.0,868,0,10737.0,,,,,,,0.80561876,4,4,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-01_150000.npz,ST洲际,True,2.759999990463257,2.9000000953674316,0.050724675865189583,True
SZ002081,0.0107033653184771,0.0060115852393209,-0.0001610974470775,0.0059509752318263,1.0,0.6666666666666666,0.6666666666666666,0.3045616745948791,-1.5000001192092896,0.0051856515929102,0.0167189110070467,0.0115332594141364,0.0094587802886962,-0.0012445850297808,64.92151641845703,0.0004558066430035,0.6666666666666666,-0.0013198057422414,0.0244499184191226,-0.0242311749607324,1876,0,8476.5,,,,,,,0.77102417,6,6,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-01_150000.npz,金螳螂,False,6.159999847412109,6.78000020980835,0.10064941197307165,True
SH600188,0.0175484418869018,0.0123396711423993,0.0027827302614846,0.0091182151809334,1.0,1.0,1.0,-0.4531259536743164,-1.4999996423721311,0.0082608936354517,0.0256507638841867,0.0173898702487349,0.020511507987976,0.0029630661010742,105.87036895751952,0.0091516971588134,1.0,-0.007130900863558,0.009684239514172,-0.0023642380256205,1123,0,10047.0,,,,,,,0.743879,7,7,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-01_150000.npz,兖矿能源,False,21.799999237060547,23.979999542236328,0.10000001749861198,True
SZ000909,0.0042801299132406,0.0045216479338705,-0.0005168437957764,0.0015622985083609,1.0,0.3333333333333333,0.3333333333333333,-0.3351231217384338,-1.5000003576278689,0.0026976824738085,0.0057177781127393,0.0030200956389307,0.0046421289443969,0.0003619990311563,757.821533203125,-0.0018278757343068,0.3333333333333333,-0.0047631659545004,0.0017662796890363,0.0,629,0,11443.5,,,,,,,0.72332394,10,10,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-01_150000.npz,*ST数源,True,4.619999885559082,4.849999904632568,0.04978355514518662,True
SZ300197,-0.0218843817710876,-0.0036664009094238,-0.0038555165131887,0.0462601631879806,0.3333333333333333,0.6666666666666666,0.6666666666666666,-0.2468633353710174,-1.5000001192092896,-0.0684417709708213,0.0215694885700941,0.0900112595409154,-0.0141255855560302,0.0077587962150573,40.64669036865234,-0.0107484655454754,0.3333333333333333,-0.0145515799522399,0.0175836067646741,-0.0559510588645935,3577,0,5285.5,,,,,,,0.71554,12,12,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-01_150000.npz,节能铁汉,False,1.6100000143051147,1.9299999475479126,0.19875772074505949,True
SZ002514,0.0026445786934345,0.0027473371010273,-0.0004943529764812,0.0026845266111195,1.0,0.3333333333333333,0.3333333333333333,0.5468459129333496,-1.500000238418579,0.0003482341708149,0.005382013041526,0.0050337788707111,0.0015418529510498,-0.0011027257423847,175.5247344970703,-0.0014733076095581,0.3333333333333333,-0.0028500955086201,0.0091746440157294,-0.0066279568709433,2061,0,8139.5,,,,,,,0.71511775,13,13,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-01_150000.npz,*ST宝馨,True,4.349999904632568,4.570000171661377,0.050574775138389594,True
SZ002207,0.0006696184282191,-0.0013443430652841,0.0008336881796518,0.0056075304746627,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4567187130451202,-1.5,-0.0043069361709058,0.0063818925991654,0.0106888287700712,-0.0011696815490722,-0.0018392999772913,220.54856872558597,0.0018711587181314,0.6666666666666666,0.0033583045005798,0.0032609628979116,-0.0103350281715393,2493,0,7283.5,,,,,,,0.6860818,15,15,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-01_150000.npz,*ST准油,True,8.850000381469727,9.289999961853027,0.04971746456695958,True
SH600745,0.0160862803459167,0.0054855146445333,0.005429830153783,0.0141059309244155,0.6666666666666666,1.0,0.6666666666666666,-0.4509842097759247,-1.4999998807907104,0.0017193318344652,0.0286298748105764,0.0269105429761111,0.0206446647644042,0.0045583844184875,101.93058776855467,0.0178871545940637,1.0,0.0051152505911886,0.0057704243808984,-0.0111488299444317,1791,0,8627.0,,,,,,,0.6760921,16,16,quantlab/04_kronos_5min/2026/pipeline_5min_kronos_2026_gpu0_20260527_145447/2026-06-01_150000.npz,*ST闻泰,True,20.670000076293945,21.700000762939453,0.049830705507678985,True
