date,final_rank,ticker,name,model_a_rank,model_a_score,quant_score,technical_score,fundamental_score,event_sentiment_score,bear_risk_score,final_score,decision,risk_level,industry
2026-06-04,1,SZ000639,,1,1.5305699110031128,0.8758963038523991,0.4614128463893521,0.5,0.0,0.1580449792530149,0.49445275666970523,候补观察,低,农林牧渔
2026-06-04,2,SH600237,,14,0.6572193503379822,0.4686130504310131,0.875,0.5,0.0,0.26408153341426643,0.4258843914723114,候补观察,低,电子
2026-06-04,3,SZ301188,,12,0.6794632077217102,0.45820104905714576,0.8570521852234378,0.5,0.0,0.283874191964666,0.41387006372126434,候补观察,低,建筑材料
2026-06-04,4,SH603989,,16,0.6306703686714172,0.3849314592778682,0.875,0.5,0.0,0.30674321672288113,0.3872266819954563,候补观察,低,电子
2026-06-04,5,SH601798,,5,0.857349693775177,0.6453858042772243,0.39233571852949684,0.5,0.0,0.23846518373409242,0.3788064252400615,候补观察,低,机械设备
2026-06-04,6,SH600121,,4,0.9254596829414368,0.6272444946567219,0.4288443686076898,0.5,0.0,0.30984689147974454,0.36676128824631654,候补观察,低,煤炭
2026-06-04,7,SH600187,,8,0.721731960773468,0.5556140445607403,0.35793928019370636,0.30959533333333333,0.5625,0.25648012665734554,0.3640495246235536,候补观察,低,公用事业
2026-06-04,8,SZ001896,,13,0.6617603302001953,0.42587068398793515,0.7039590293482283,0.5,0.0,0.34448527607854484,0.35336655806352246,候补观察,低,公用事业
2026-06-04,9,SH600180,,7,0.7508785128593445,0.5909369732004901,0.44987613326968184,0.13236900000000001,0.46875,0.2764289115272345,0.34814560003145323,候补观察,低,商贸零售
2026-06-04,10,SH603681,,3,0.9911386370658875,0.618892329633236,0.35734467716093987,0.5,0.0,0.33002436510615474,0.3425590881653596,候补观察,低,基础化工
2026-06-04,11,SZ300716,,15,0.6309524178504944,0.44386905223131184,0.613978296786376,0.5,0.0,0.3675831856107642,0.33363101290984964,候补观察,中,橡胶和塑
2026-06-04,12,SZ300897,,11,0.6929217576980591,0.5071776714175937,0.46104559817808705,0.5,0.0,0.3119635810002005,0.3308421890730345,候补观察,低,仪器仪表
2026-06-04,13,SH600265,,9,0.7143179774284363,0.5069869511326155,0.3256836748881146,0.45014133333333334,0.375,0.3644594813631026,0.3228157547749353,候补观察,中,木材加工
2026-06-04,14,SH600482,,20,0.5804041028022766,0.23997449864943793,0.7981955212075265,0.5,0.0,0.2916670804222421,0.31962432851915556,候补观察,低,交通运输
2026-06-04,15,SZ300302,,18,0.60618656873703,0.26646081378062547,0.6674864940127967,0.5,0.0,0.22796388147094165,0.31052987522990805,候补观察,低,计算机
2026-06-04,16,SZ000582,,6,0.804349958896637,0.5130437448620797,0.36571323325137844,0.5,0.0,0.3112690960039748,0.3102131049298845,候补观察,低,交通运输
2026-06-04,17,SZ002717,,10,0.7037653923034668,0.528272600993514,0.4289484957000242,0.0,0.34375,0.2665607828026013,0.2810636187651506,候补观察,低,环保
2026-06-04,18,SZ002856,,2,0.9925232529640198,0.7915508201718328,0.2680887689869771,0.0,0.3125,0.5550551459846338,0.2757885706218075,候补观察,高,建筑装饰
2026-06-04,19,SZ002789,,17,0.6175775527954102,0.22595865562558193,0.30007711183746527,0.5,0.0,0.1877907752528778,0.21580546781562562,候补观察,低,建筑装饰
2026-06-04,20,SZ002199,,19,0.5973657965660095,0.17898856294651852,0.25336384250307736,0.308998,0.5,0.22676476146295838,0.20168985256889355,候补观察,低,电子
