date,final_rank,ticker,name,model_a_rank,model_a_score,quant_score,technical_score,fundamental_score,event_sentiment_score,bear_risk_score,final_score,decision,risk_level,industry
2026-06-05,1,SZ000820,,1,1.83541738986969,0.882882984681055,0.621659675368513,0.5,0.0,0.24649662325266306,0.5177368719230903,候补观察,低,专业技术
2026-06-05,2,SZ002514,,3,1.0321823358535767,0.6617468657096228,0.46038731118873477,0.5472699999999999,0.40625,0.24645922498971928,0.4576339813428167,候补观察,低,金属制品
2026-06-05,3,SZ002354,,2,1.0734105110168457,0.7136627554645143,0.506918693877551,0.5,0.0,0.30852271926797126,0.4168745346442432,候补观察,低,互联网和
2026-06-05,4,SZ002421,,17,0.739913821220398,0.3604138161738711,0.8518871170333805,0.39979566666666666,0.46875,0.30183319330938596,0.41004437658206105,候补观察,低,计算机
2026-06-05,5,SZ002251,,11,0.8181427717208862,0.3772678464651108,0.725,0.500839,0.5,0.33372664100867877,0.4032388965257041,候补观察,低,商贸零售
2026-06-05,6,SZ000609,,5,0.9960137009620667,0.7316638289888697,0.44424697459122026,0.04681833333333333,0.40625,0.23272222815144,0.3815874733742646,候补观察,低,综合
2026-06-05,7,SZ000520,,9,0.8490369915962219,0.5714736540367205,0.5553293077164854,0.5,0.0,0.37482386828415204,0.3640447756483455,候补观察,中,交通运输
2026-06-05,8,SH603500,,6,0.9273820519447327,0.590481286371748,0.3860935992422182,0.5,0.0,0.21565167456865267,0.3621053919982311,候补观察,低,交通运输
2026-06-05,9,SZ002717,,4,1.0225048065185547,0.736424675012628,0.47546128682914235,0.0,0.34375,0.3453978570385121,0.3513940204358378,候补观察,低,环保
2026-06-05,10,SZ000517,,14,0.7814059257507324,0.4091073012476166,0.6311724661300432,0.5,0.0,0.27160540935523486,0.3444389384493053,候补观察,低,房地产
2026-06-05,11,SH600180,,8,0.8842797875404358,0.5541160967946055,0.43395807576056805,0.13236900000000001,0.46875,0.2296962364751184,0.3404162857335706,候补观察,低,商贸零售
2026-06-05,12,SZ000718,,7,0.9239925742149353,0.5576339941223463,0.34617223663563307,0.5,0.0,0.22025614528667464,0.3397783456192617,候补观察,低,房地产
2026-06-05,13,SH600537,,13,0.8025158643722534,0.4040620178108417,0.48299293977856217,0.5,0.0,0.2054644623855814,0.32028773948164163,候补观察,低,机械设备
2026-06-05,14,SH600703,,18,0.7348520159721375,0.2563233821466565,0.644050898162739,0.5,0.0,0.16149172863913125,0.3145502874040274,候补观察,低,电子
2026-06-05,15,SZ001278,,16,0.7454642653465271,0.3559759335592389,0.45721553321176284,0.5,0.0,0.20761292225548172,0.2963604796010527,候补观察,低,汽车
2026-06-05,16,SH600408,,20,0.7054639458656311,0.28221833571791627,0.6557279158034965,0.5,0.0,0.31754125362614005,0.29546504992606093,候补观察,低,钢铁
2026-06-05,17,SH605162,,15,0.7470347881317139,0.38926826357841493,0.4144694562918311,0.5,0.0,0.26973530873656226,0.28566218265095633,候补观察,低,公用事业
2026-06-05,18,SH600246,,12,0.8045425415039062,0.4447026717693856,0.46603454462228566,0.2047601666666667,0.4375,0.4070084164244595,0.28399160259476885,候补观察,中,房地产
2026-06-05,19,SZ001896,,10,0.838601291179657,0.40732516139745717,0.311852862207275,0.5,0.0,0.2699547984326873,0.2674907853462931,候补观察,低,公用事业
2026-06-05,20,SZ300052,,19,0.7232351899147034,0.1903736157218616,0.5384548260731747,0.5,0.0,0.17315077822720254,0.2631335042719916,候补观察,低,互联网和
