date,code,open,high,low,close,preclose,pctChg,volume,amount,ret,nav
2026-01-05,sh.000001,3986.9721,4025.2632,3983.5759,4023.4167,3968.8401,1.375127,59695045500,1067334169201.5,0.0,1.0
2026-01-06,sh.000001,4026.0158,4083.6672,4025.088,4083.6672,4023.4167,1.497496,70247227000,1175768705035.0,0.014974958969574237,1.0149749589695742
2026-01-07,sh.000001,4083.843,4098.7771,4069.4358,4085.7723,4083.6672,0.051549,68338435200,1197422798276.7,0.0005154925455237436,1.0154981709948163
2026-01-08,sh.000001,4077.715,4093.8718,4067.1216,4082.9788,4085.7723,-0.068371,66613133700,1183188755951.4,-0.0006837140679621934,1.0148038606093173
2026-01-09,sh.000001,4086.7624,4121.7226,4083.6155,4120.426,4082.9788,0.917154,72983798500,1289205972263.2,0.009171539171352272,1.0241111739681352
2026-01-12,sh.000001,4134.893,4168.3569,4119.8793,4165.287,4120.426,1.088747,83945608900,1446230122005.3,0.010887466490115294,1.0352611500568658
2026-01-13,sh.000001,4169.7041,4179.702,4126.2343,4138.7585,4165.287,-0.636895,86838271700,1481574218613.4,-0.006368948886355308,1.0286676247081243
2026-01-14,sh.000001,4138.6454,4190.8663,4103.6205,4126.0932,4138.7585,-0.306017,95255128900,1607041237767.9,-0.003060168888810444,1.025519728046066
2026-01-15,sh.000001,4106.2241,4133.0726,4096.8496,4112.6012,4126.0932,-0.326992,68025079100,1175915097396.1,-0.0032699212901928787,1.0221663592538153
2026-01-16,sh.000001,4127.0632,4140.2251,4091.8106,4101.9127,4112.6012,-0.259896,76358846500,1338017280024.0,-0.0025989634005845197,1.0195097862968059
2026-01-19,sh.000001,4090.7185,4126.5175,4090.0567,4114.0001,4101.9127,0.294677,68890587000,1190137813599.0,0.002946771636558765,1.0225140488182594
2026-01-20,sh.000001,4116.3659,4128.9304,4080.2938,4113.649,4114.0001,-0.008534,73436249600,1221485626208.5,-8.534273005966764e-05,1.0224267846778088
2026-01-21,sh.000001,4103.5291,4135.9585,4103.5291,4116.94,4113.649,0.080002,66698950700,1180184557006.2,0.00080001964192844,1.0232447461879848
2026-01-22,sh.000001,4126.0717,4140.8378,4109.9232,4122.576,4116.94,0.136898,70969540900,1201764210237.4,0.0013689779302104021,1.02464554566272
2026-01-23,sh.000001,4130.1076,4143.7498,4120.204,4136.1642,4122.576,0.329605,78211545400,1336857054837.6,0.0032960459673758713,1.028022824481491
2026-01-26,sh.000001,4144.7782,4160.9852,4124.7004,4132.6052,4136.1642,-0.086046,88743973100,1451859840027.3,-0.0008604590697826042,1.0271382529182225
2026-01-27,sh.000001,4125.2155,4158.8019,4101.8299,4139.9041,4132.6052,0.176617,75499086900,1289432378945.4,0.0017661740347225674,1.028952357830597
